Table 1,,,,,,,,,,,,
,,,,,,,,,,,,
SR NO,MODEL NAME,PRICE TO PAY,OVER CHARGE,USER COST ($),CREDITS PER GENRATION ( FINAL ),Credit per generation,Column 1,"PLAN A (12,360)","PLAN B (24,720)","PLAN C (61,800)","PLAN D (197,760)",FREE (4120)
1,FLUX.1 Kontext [pro],0.04,0.015,0.055,,110,,112.3636364,224.7272727,561.8181818,1797.818182,37.45454545
2,FLUX.1 Kontext [max],0.08,0.015,0.095,,190,,65.05263158,130.1052632,325.2631579,1040.842105,21.68421053
3,FLUX 1.1 [pro] Ultra,0.06,0.015,0.075,,150,,82.4,164.8,412,1318.4,27.46666667
4,FLUX 1.1 [pro],0.04,0.015,0.055,,110,,112.3636364,224.7272727,561.8181818,1797.818182,37.45454545
5,FLUX.1 [dev],0.03,0.015,0.045,,90,,137.3333333,274.6666667,686.6666667,2197.333333,45.77777778
6,FLUX.1 [pro],0.05,0.015,0.065,,130,,95.07692308,190.1538462,475.3846154,1521.230769,31.69230769
7,Runway Gen 4 Image 720p,0.05,0.015,0.065,,130,,95.07692308,190.1538462,475.3846154,1521.230769,31.69230769
8,Runway Gen 4 Image 1080p,0.08,0.015,0.095,,190,,65.05263158,130.1052632,325.2631579,1040.842105,21.68421053
9,Runway Gen 4 Image Turbo,0.02,0.015,0.035,,70,,176.5714286,353.1428571,882.8571429,2825.142857,58.85714286
10,Minimax Image-01,0.0035,0.015,0.0185,,37,,334.0540541,668.1081081,1670.27027,5344.864865,111.3513514
11,Google nano banana (T2I),0.039,0.015,0.054,,108,,114.4444444,228.8888889,572.2222222,1831.111111,38.14814815
12,Google nano banana (I2I),0.039,0.015,0.054,,108,,114.4444444,228.8888889,572.2222222,1831.111111,38.14814815
13,Music 1.5 (Up to 90s),0.03,0.015,0.045,,90,,137.3333333,274.6666667,686.6666667,2197.333333,45.77777778
14,Minimax-Hailuo-02 512P 6s,0.1,0.06,0.16,,320,,38.625,77.25,193.125,618,12.875
15,Minimax-Hailuo-02 512P 10s,0.15,0.06,0.21,,420,,29.42857143,58.85714286,147.1428571,470.8571429,9.80952381
16,Minimax-Hailuo-02 768P 6s,0.28,0.06,0.34,,680,,18.17647059,36.35294118,90.88235294,290.8235294,6.058823529
17,Minimax-Hailuo-02 768P 10s,0.56,0.06,0.62,,1240,,9.967741935,19.93548387,49.83870968,159.483871,3.322580645
18,Minimax-Hailuo-02 1080P 6s,0.49,0.06,0.55,,1100,,11.23636364,22.47272727,56.18181818,179.7818182,3.745454545
19,T2V-01-Director ,0.43,0.06,0.49,,980,,12.6122449,25.2244898,63.06122449,201.7959184,4.204081633
20,I2V-01-Director ,0.43,0.06,0.49,,980,,12.6122449,25.2244898,63.06122449,201.7959184,4.204081633
21,S2V-01,0.65,0.06,0.71,,1420,,8.704225352,17.4084507,43.52112676,139.2676056,2.901408451
22,veo3 5s,2,0.06,2.06,,4120,,3,6,15,48,1
23,veo3 Fast 5s,0.75,0.06,0.81,,1620,,7.62962963,15.25925926,38.14814815,122.0740741,2.543209877
24,Gen-4  Aleph 5s,0.75,0.06,0.81,,1620,,7.62962963,15.25925926,38.14814815,122.0740741,2.543209877
25,Gen-4  Turbo 5s,0.25,0.06,0.31,,620,,19.93548387,39.87096774,99.67741935,318.9677419,6.64516129
26,Gen-3a Turbo 5s,0.25,0.06,0.31,,620,,19.93548387,39.87096774,99.67741935,318.9677419,6.64516129
27	ChatGPT Prompt Enhancer (4o)	0.00875	0.00125	0.01		1		618	1236	3200	9888	206